contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL210618C00110000,2019-04-02 2:22PM EDT,110,85.1,86.05,91,0,-,1,34,32.84%,6/18/2021
AAPL210618C00115000,2019-03-21 12:23PM EDT,115,82.99,82,86.5,0,-,15,56,31.94%,6/18/2021
AAPL210618C00120000,2019-03-26 12:57PM EDT,120,74.2,77.6,82.5,0,-,0,190,31.97%,6/18/2021
AAPL210618C00125000,2019-03-28 3:33PM EDT,125,68,74.6,78,0,-,0,281,30.88%,6/18/2021
AAPL210618C00130000,2019-04-03 12:32PM EDT,130,71,71.6,73.95,0,-,1,483,30.51%,6/18/2021
AAPL210618C00135000,2019-04-05 2:10PM EDT,135,68.1,67.65,70.5,1,1.49%,1,100,30.90%,6/18/2021
AAPL210618C00140000,2019-04-03 9:30AM EDT,140,62.4,64.2,66,0,-,1,144,29.58%,6/18/2021
AAPL210618C00145000,2019-04-04 10:22AM EDT,145,58.5,58,62.45,0,-,1,31,29.50%,6/18/2021
AAPL210618C00150000,2019-04-05 2:39PM EDT,150,59,55,58.8,2.9,5.17%,1,452,29.13%,6/18/2021
AAPL210618C00155000,2019-04-05 2:31PM EDT,155,53.83,52.15,55.45,1.38,2.63%,16,280,29.00%,6/18/2021
AAPL210618C00160000,2019-04-05 1:38PM EDT,160,50.1,49.45,51,0.88,1.79%,281,641,27.51%,6/18/2021
AAPL210618C00165000,2019-04-04 3:16PM EDT,165,46.2,44.95,47.75,0,-,10,168,27.28%,6/18/2021
AAPL210618C00170000,2019-04-05 11:49AM EDT,170,43.91,43.9,46.5,1.23,2.88%,38,364,28.93%,6/18/2021
AAPL210618C00175000,2019-04-04 2:04PM EDT,175,40,39.7,41.7,0,-,23,585,26.88%,6/18/2021
AAPL210618C00180000,2019-04-05 3:11PM EDT,180,38.4,36.2,38.75,1.38,3.73%,106,708,26.58%,6/18/2021
AAPL210618C00185000,2019-04-05 3:45PM EDT,185,34.88,33.55,36.2,0.38,1.10%,4,372,26.53%,6/18/2021
AAPL210618C00190000,2019-04-05 12:29PM EDT,190,32.67,31.55,34.2,0.67,2.09%,1,419,26.85%,6/18/2021
AAPL210618C00195000,2019-04-04 2:56PM EDT,195,30.35,29.6,31,0,-,8,202,25.99%,6/18/2021
AAPL210618C00200000,2019-04-05 2:35PM EDT,200,28.2,27.8,28.4,0.7,2.55%,5,"1,476",25.56%,6/18/2021
